,maintanance_job_code,eo_code,eo_description,eo_main_description,level_1,level_upper,avearage_day_operation_hours,level_1_description
158,100000084404_23,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
159,100000084404_24,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
160,100000084404_25,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
161,100000084404_26,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
162,100000084404_27,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
163,100000084404_28,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
164,100000084404_29,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
165,100000084404_30,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
166,100000084404_31,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
167,100000084404_32,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
168,100000084404_33,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
169,100000084404_34,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
